retailer,item_id,upc_gtin,title,brand,category,price_usd,currency,in_stock,is_verified_1p
Target,90000070,081483829579,"Lifetime 44"" Clear Fusion Poolside Portable Hoop",Lifetime,Basketball Hoops,,USD,1,1
Target,90000071,081483804118,"Lifetime 60"" Adjustable Bolt Down Basketball Hoop",Lifetime,Basketball Hoops,,USD,1,1
Target,90000072,841101000250,Lifetime Ball Return Net,Lifetime,Sports Nets & Rebounders,,USD,1,1
Target,90000073,081483010342,"Lifetime Adjustable Portable 52"" Basketball Hoop - White/Black",Lifetime,Basketball Hoops,,USD,1,1
Target,90000074,081483815442,"Lifetime Adjustable In Ground 54"" Basketball Hoop",Lifetime,Basketball Hoops,,USD,1,1
Target,90000075,841101011812,"Lifetime Mammoth 54"" Lift Bolt Down",Lifetime,Basketball Hoops,,USD,1,1
Target,90000076,081483011431,Lifetime Adjustable Youth Portable Basketball Hoop,Lifetime,Basketball Hoops,,USD,1,1
Target,90000077,081483010847,"Lifetime Adjustable In Ground 50"" Basketball Hoop - White/Black",Lifetime,Basketball Hoops,,USD,1,1
Target,90000078,081483000664,"Lifetime Adjustable In Ground 50"" Basketball Hoop - White/Orange/Black",Lifetime,Basketball Hoops,,USD,1,1
Target,90000079,081483819211,Lifetime Adjustable In Ground 54'' Basketball Hoop,Lifetime,Basketball Hoops,,USD,1,1
Target,90000080,081483809106,"Lifetime Adjustable Portable 52"" Basketball Hoop - Black",Lifetime,Basketball Hoops,,USD,1,1
Target,90000082,081483016634,"Lifetime Adjustable In-Ground 54"" Basketball Hoop",Lifetime,Basketball Hoops,,USD,1,1
Target,90000083,081483802787,"Lifetime Adjustable In-Ground 52"" Basketball Hoop",Lifetime,Basketball Hoops,,USD,1,1
Target,90000084,081483011363,"Lifetime Adjustable In Ground 52"" Basketball Hoop",Lifetime,Basketball Hoops,,USD,1,1
